集团域外企业物资采购情况统计表																
单位名称：平煤神马塔能伊斯法拉公司							月份：1月			填报时间：						
序号	月份	计划情况（元）				采购情况（元）										
		物资名称	规格型号	计划价格	计划数量	单位	采购单价（塔币索莫尼）	采购方式	付款方式	采购数量	采购金额（塔币索莫尼）	库存数量	单价（人民币元）	金额（人民币元）	单位	工程名称
1	1月	汽车加油	升	7	20	升	7.00 		现金	24.42 	 170.94 		4.70 	114.66 	开掘	回风斜井
2	1月	铁丝	公斤	12.5	100	公斤	12.50 		现金	100.00 	1 250.00 		8.38 	838.48 	开掘	回风斜井
3	1月	爪钉	个	3	200	个	3.00 		现金	200.00 	 600.00 		2.01 	402.47 	开掘	回风斜井
4	1月	铁钉	公斤	10	40	公斤	10.00 		现金	40.00 	 400.00 		6.71 	268.31 	开掘	回风斜井
5	1月	矿灯	个	85	15	个	85.00 		现金	15.00 	1 275.00 		57.02 	855.25 	开掘	回风斜井
6	1月	编织袋	个	1.45	300	个	1.45 		现金	300.00 	 435.00 		0.97 	291.79 	开掘	回风斜井
7	1月	灭火器	个	180	10	个	175.00 		现金	10.00 	1 750.00 		117.39 	1173.87 	开掘	回风斜井
8	1月	工具包	个	45	10	个	45.00 		现金	10.00 	 450.00 		30.19 	301.85 	开掘	回风斜井
9	1月	挂衣钩	个	30	2	个	20.00 		现金	7.00 	 140.00 		13.42 	93.91 	开掘	回风斜井
10	1月	洗衣机	台	3000	2	台	2900.00 		现金	2.00 	5 800.00 		1945.26 	3890.53 	开掘	回风斜井
11	1月	音响	台	1000	1	台	1000.00 		现金	1.00 	1 000.00 		670.78 	670.78 	开掘	回风斜井
12	1月	话筒	个	150	1	个	140.00 		现金	1.00 	 140.00 		93.91 	93.91 	开掘	回风斜井
13	1月	卷尺	把	10	10	把	9.10 		现金	10.00 	 91.00 		6.10 	61.04 	开掘	回风斜井
14	1月	电工胶布	卷	3	20	卷	2.50 		现金	20.00 	 50.00 		1.68 	33.54 	开掘	回风斜井
15	1月	壁纸刀	把	20	5	把	7.70 		现金	5.00 	 38.50 		5.17 	25.83 	开掘	回风斜井
16	1月	壁纸刀片	盒	20	3	盒	4.20 		现金	3.00 	 12.60 		2.82 	8.45 	开掘	回风斜井
17	1月	水笔	根	2	20	根	8.00 		现金	5.00 	 40.00 		5.37 	26.83 	开掘	回风斜井
18	1月	UBS一托三接头	根	20	1	根	17.00 		现金	1.00 	 17.00 		11.40 	11.40 	开掘	回风斜井
19	1月	空压机油	空压机螺杆专用油	800	4	桶	800.00 		现金	3.00 	2 400.00 		536.62 	1609.87 	开掘	回风斜井
20	1月	三件套				套	395.00 		现金	2.00 	 790.00 		264.96 	529.92 	开掘	回风斜井
21	1月	焊条	包	85	6	包	85.00 		现金	6.00 	 510.00 		57.02 	342.10 	开掘	回风斜井
22	1月	电铃按钮	台	20	7	台	20.00 		现金	7.00 	 140.00 		13.42 	93.91 	开掘	回风斜井
23	1月	电铃	个	80	3	个	80.00 		现金	3.00 	 240.00 		53.66 	160.99 	开掘	回风斜井
24	1月	三芯电缆	米	5	5000	米	5.00 		现金	5000.00 	25 000.00 		3.35 	16769.52 	开掘	回风斜井
25	1月	停车费	次	2	1	次	2.00 		现金	1.00 	 2.00 		1.34 	1.34 	开掘	回风斜井
26	1月	据	把	140	1	把	140.00 		现金	1.00 	 140.00 		93.91 	93.91 	开掘	回风斜井
