集团域外企业物资采购情况统计表																
单位名称：平煤神马塔能伊斯法拉公司							月份：7月			填报时间：						
序号	月份	计划情况（元）				采购情况（元）										
		物资名称	规格型号	计划价格	计划数量	单位	采购单价（塔币索莫尼）	采购方式	付款方式	采购数量	采购金额（塔币索莫尼）	库存数量	单价（人民币元）	金额（人民币元）	单位	工程名称
1	7月	片网	0.9×2.4m	154.	3400.	片	154.00 	分采	现金	3400 	523,600.00 		111.94 	380606.24 	开掘	+878-810m回风斜巷
2	7月	木板	600cm×20cm×5cm	4490.06	62.36	方	4,490.06 	分采	现金	62 	280,000.00 		3263.84 	203532.85 	开掘	+878-810m回风斜巷
3	7月	中负荷工业齿轮油	32#	5600	6	桶	5,600.00 	分采	现金	6 	33,600.00 		4070.65 	24423.93 	开掘	+878-810m回风斜巷
4	7月	抗磨液压油	100#	5600	6	桶	5,600.00 	分采	现金	6 	33,600.00 		4070.65 	24423.93 	开掘	+878-810m回风斜巷
5	7月	片网	0.9×2.4m	154.	3200.	片	154.00 	分采	现金	3200 	492,800.00 		111.94 	358217.63 	开掘	+878-810m回风斜巷
1	7月	卷纸		28.5 	20 	包	28.5 		现金	20 	 570.00 		20.72 	414.33 	开掘	+878-810m回风斜巷
2	7月	一次性纸杯		0.5 	1550 	个	0.5 		现金	1550 	 775.00 		0.36 	563.35 	开掘	+878-810m回风斜巷
3	7月	抽化		23 	54 	盒	23 		现金	54 	1 242.00 		16.72 	902.81 	开掘	+878-810m回风斜巷
4	7月	最标键盘		90 	5 	套	90 		现金	5 	 450.00 		65.42 	327.11 	开掘	+878-810m回风斜巷
5	7月	打印机		2600 	1	台	2600 		现金	1	2 600.00 		1889.95 	1889.95 	开掘	+878-810m回风斜巷
6	7月	烧水壶		150 	5 	个	150 		现金	5 	 750.00 		109.04 	545.18 	开掘	+878-810m回风斜巷
7	7月	垃圾袋		10 	20 	个	10 		现金	20 	 200.00 		7.27 	145.38 	开掘	+878-810m回风斜巷
8	7月	小瓶矿泉水		72 	50 	件	72 		现金	50 	3 600.00 		52.34 	2616.85 	开掘	+878-810m回风斜巷
9	7月	洗衣粉		90 	2 	袋	90 		现金	2 	 180.00 		65.42 	130.84 	开掘	+878-810m回风斜巷
10	7月	桶装饮用水		7 	5 	桶	7 		现金	5 	 35.00 		5.09 	25.44 	开掘	+878-810m回风斜巷
11	7月	湿巾		20 	50 	包	20 		现金	50 	1 000.00 		14.54 	726.90 	开掘	+878-810m回风斜巷
12	7月	大桶装饮用水		10 	200 	桶	10 		现金	200 	2 000.00 		7.27 	1453.81 	开掘	+878-810m回风斜巷
13	7月	拖把		90 	10 	把	90 		现金	10 	 900.00 		65.42 	654.21 	开掘	+878-810m回风斜巷
14	7月	扫把		68 	10 	把	68 		现金	10 	 680.00 		49.43 	494.29 	开掘	+878-810m回风斜巷
15	7月	衣柜	80*200	1800	73	个	1800		银	73	131 400.00 		1308.42 	95515.01 	开掘	+878-810m回风斜巷
16	7月	大桶桶装水		9	1300	桶	9		银	1300	11 700.00 		6.54 	8504.76 	开掘	+878-810m回风斜巷
17	7月	棉花床垫		183.74	60	张	183.74		转账	60	11 024.40 		133.56 	8013.67 	开掘	+878-810m回风斜巷
18	7月	扫把撮箕		50	40	套	50		转账	40	2 000.00 		36.35 	1453.81 	开掘	+878-810m回风斜巷
19	7月	拖把		70	36	个	70		转账	36	2 520.00 		50.88 	1831.79 	开掘	+878-810m回风斜巷
20	7月	拖把		80	10	个	80		转账	10	 800.00 		58.15 	581.52 	开掘	+878-810m回风斜巷
21	7月	工业电风扇		450	6	个	450		转账	6	2 700.00 		327.11 	1962.64 	开掘	+878-810m回风斜巷
22	7月	小垃圾桶		28	15	个	28		转账	15	 420.00 		20.35 	305.30 	开掘	+878-810m回风斜巷
23	7月	公文架		92.5	2	个	92.5		转账	2	 185.00 		67.24 	134.48 	开掘	+878-810m回风斜巷
24	7月	环卫垃圾桶		730	10	个	730		转账	10	7 300.00 		530.64 	5306.39 	开掘	+878-810m回风斜巷
25	7月	横幅		720	1	个	720		转账	1	 720.00 		523.37 	523.37 	开掘	+878-810m回风斜巷
26	7月	强光手电		180	4	个	180		转账	4	 720.00 		130.84 	523.37 	开掘	+878-810m回风斜巷
