集团域外企业物资采购情况统计表																
单位名称：平煤神马塔能伊斯法拉公司							月份：3月			填报时间：						
序号	月份	计划情况（元）				采购情况（元）										
		物资名称	规格型号	计划价格	计划数量	单位	采购单价（塔币索莫尼）	采购方式	付款方式	采购数量	采购金额（塔币索莫尼）	库存数量	单价（人民币元）	金额（人民币元）	单位	工程名称
45	3月	螺丝松动剂		20	20	瓶	20	分采	现金	20	400.00 		13.34 	266.90 	开掘	﹢878片盘联巷
46	3月	密封胶		20	20	支	20	分采	现金	20	400.00 		13.34 	266.90 	开掘	﹢878片盘联巷
47	3月	AB胶		15	20	支	15	分采	现金	20	300.00 		10.01 	200.17 	开掘	﹢878片盘联巷
48	3月	黄油（锂基脂）		250	2	小桶	250	分采	现金	2	500.00 		166.81 	333.62 	开掘	﹢878片盘联巷
49	3月	角铁	L50	25	300	米	25	分采	现金	300	7,500.00 		16.68 	5004.34 	开掘	﹢878片盘联巷
50	3月	角铁	L50	150	100	根	150	分采	现金	100	15,000.00 		100.09 	10008.67 	开掘	﹢878片盘联巷
51	3月	管子	φ20	30	100	米	30	分采	现金	100	3,000.00 		20.02 	2001.73 	开掘	﹢878片盘联巷
52	3月	管子	φ25	35	100	米	35	分采	现金	100	3,500.00 		23.35 	2335.36 	开掘	﹢878片盘联巷
53	3月	镀锌板	0.75mm	25	60	米	25	分采	现金	60	1,500.00 		16.68 	1000.87 	开掘	﹢878片盘联巷
54	3月	水泥钉	3*50mm	25	4	Kg	25	分采	现金	4	100.00 		16.68 	66.72 	开掘	﹢878片盘联巷
55	3月	水泥钉	3*100mm	25	7	Kg	25	分采	现金	7	175.00 		16.68 	116.77 	开掘	﹢878片盘联巷
56	3月	膨胀螺丝	M16*100mm	4.5	500	条	4.5	分采	现金	500	2,250.00 		3.00 	1501.30 	开掘	﹢878片盘联巷
57	3月	膨胀螺丝	M14*100mm	3.6	100	条	3.6	分采	现金	100	360.00 		2.40 	240.21 	开掘	﹢878片盘联巷
58	3月	闸阀	直径50mm	500	5	个	500	分采	现金	5	2,500.00 		333.62 	1668.11 	开掘	﹢878片盘联巷
59	3月	钢管	直径25mm	35	120	米	35	分采	现金	120	4,200.00 		23.35 	2802.43 	开掘	﹢878片盘联巷
60	3月	弯头	直径25mm	15	10	个	15	分采	现金	10	150.00 		10.01 	100.09 	开掘	﹢878片盘联巷
61	3月	三通	直径25mm	30	5	个	30	分采	现金	5	150.00 		20.02 	100.09 	开掘	﹢878片盘联巷
62	3月	闸阀	直径25mm	90	5	个	90	分采	现金	5	450.00 		60.05 	300.26 	开掘	﹢878片盘联巷
63	3月	球阀	直径15mm	25	5	个	25	分采	现金	5	125.00 		16.68 	83.41 	开掘	﹢878片盘联巷
64	3月	重型绳卡头	直径28mm	70	15	个	70	分采	现金	15	1,050.00 		46.71 	700.61 	开掘	﹢878片盘联巷
65	3月	重型绳卡头	直径24mm	45	10	个	45	分采	现金	10	450.00 		30.03 	300.26 	开掘	﹢878片盘联巷
66	3月	管子	直径20mm	30	60	米	30	分采	现金	60	1,800.00 		20.02 	1201.04 	开掘	﹢878片盘联巷
67	3月	钢管	直径50mm	65	420	米	65	分采	现金	420	27,300.00 		43.37 	18215.79 	开掘	﹢878片盘联巷
68	3月	法兰盘	直径50mm	47	200	个	47	分采	现金	200	9,400.00 		31.36 	6272.10 	开掘	﹢878片盘联巷
69	3月	弯头	直径50mm	33	20	个	33	分采	现金	20	660.00 		22.02 	440.38 	开掘	﹢878片盘联巷
70	3月	螺丝带帽	16*50mm	27	67.5	Kg	27	分采	现金	67.5	1,822.50 		18.02 	1216.05 	开掘	﹢878片盘联巷
71	3月	道木	160×10×2700mm	160	23	根	160	分采	现金	23	3,680.00 		106.76 	2455.46 	开掘	﹢878片盘联巷
72	3月	道木	200×10×2700mm	190	43	根	190	分采	现金	43	8,170.00 		126.78 	5451.39 	开掘	﹢878片盘联巷
73	3月	焊工手套		25	10	副	25	分采	现金	10	250.00 		16.68 	166.81 	开掘	﹢878片盘联巷
74	3月	焊工面罩		30	5	个	30	分采	现金	5	150.00 		20.02 	100.09 	开掘	﹢878片盘联巷
75	3月	帆布手套		20	30	付	20	分采	现金	30	600.00 		13.34 	400.35 	开掘	﹢878片盘联巷
76	3月	塑壳断路器	100A	150	5	个	150	分采	现金	5	750.00 		100.09 	500.43 	开掘	﹢878片盘联巷
77	3月	塑壳断路器	250A	550	2	个	550	分采	现金	2	1,100.00 		366.98 	733.97 	开掘	﹢878片盘联巷
78	3月	空气开关	 三相 63A	45	5	个	45	分采	现金	5	225.00 		30.03 	150.13 	开掘	﹢878片盘联巷
79	3月	空气开关	三相 40A	40	5	个	40	分采	现金	5	200.00 		26.69 	133.45 	开掘	﹢878片盘联巷
80	3月	单开开关	32A	14	5	个	14	分采	现金	5	70.00 		9.34 	46.71 	开掘	﹢878片盘联巷
81	3月	氧气表		170	5	个	170	分采	现金	5	850.00 		113.43 	567.16 	开掘	﹢878片盘联巷
82	3月	万用表		80	4	个	80	分采	现金	4	320.00 		53.38 	213.52 	开掘	﹢878片盘联巷
83	3月	兆欧表		135	2	个	135	分采	现金	2	270.00 		90.08 	180.16 	开掘	﹢878片盘联巷
84	3月	人字梯	3m	1760	1	个	1760	分采	现金	1	1,760.00 		1174.35 	1174.35 	开掘	﹢878片盘联巷
85	3月	线卡		10	2	包	10	分采	现金	2	20.00 		6.67 	13.34 	开掘	﹢878片盘联巷
86	3月	工具包		55	4	个	55	分采	现金	4	220.00 		36.70 	146.79 	开掘	﹢878片盘联巷
87	3月	滚筒刷	大	7	10	个	7	分采	现金	10	70.00 		4.67 	46.71 	开掘	﹢878片盘联巷
88	3月	滚筒刷	小	4	10	个	4	分采	现金	10	40.00 		2.67 	26.69 	开掘	﹢878片盘联巷
89	3月	刮板		30	10	个	30	分采	现金	10	300.00 		20.02 	200.17 	开掘	﹢878片盘联巷
90	3月	批铲		35	2	个	35	分采	现金	2	70.00 		23.35 	46.71 	开掘	﹢878片盘联巷
91	3月	抹灰刀		25	5	个	25	分采	现金	5	125.00 		16.68 	83.41 	开掘	﹢878片盘联巷
92	3月	铲刀		25	10	个	25	分采	现金	10	250.00 		16.68 	166.81 	开掘	﹢878片盘联巷
93	3月	壁纸刀		10	10	把	10	分采	现金	10	100.00 		6.67 	66.72 	开掘	﹢878片盘联巷
94	3月	电工包	大号	50	10	个	50	分采	现金	10	500.00 		33.36 	333.62 	开掘	﹢878片盘联巷
95	3月	锁	大	25	10	把	25	分采	现金	10	250.00 		16.68 	166.81 	开掘	﹢878片盘联巷
96	3月	锁	中	15	10	把	15	分采	现金	10	150.00 		10.01 	100.09 	开掘	﹢878片盘联巷
97	3月	锁	小	10	10	把	10	分采	现金	10	100.00 		6.67 	66.72 	开掘	﹢878片盘联巷
98	3月	壁纸刀		10	10	把	10	分采	现金	10	100.00 		6.67 	66.72 	开掘	﹢878片盘联巷
99	3月	绝缘胶带	自粘白色	4	20	盘	4	分采	现金	20	80.00 		2.67 	53.38 	开掘	﹢878片盘联巷
100	3月	壁纸刀片		4	10	盒	4	分采	现金	10	40.00 		2.67 	26.69 	开掘	﹢878片盘联巷
101	3月	线卡	12mm	10	20	包	10	分采	现金	20	200.00 		6.67 	133.45 	开掘	﹢878片盘联巷
102	3月	砂轮片	厚	10	20	片	10	分采	现金	20	200.00 		6.67 	133.45 	开掘	﹢878片盘联巷
103	3月	砂轮片	薄	5	20	片	5	分采	现金	20	100.00 		3.34 	66.72 	开掘	﹢878片盘联巷
104	3月	钢刷	大	10	15	个	10	分采	现金	15	150.00 		6.67 	100.09 	开掘	﹢878片盘联巷
105	3月	钢刷	小	7	5	个	7	分采	现金	5	35.00 		4.67 	23.35 	开掘	﹢878片盘联巷
106	3月	绝缘胶布		4	100	卷	4	分采	现金	100	400.00 		2.67 	266.90 	开掘	﹢878片盘联巷
107	3月	等离子割嘴	p-80  1.5mm	35	1	把	35	分采	现金	1	35.00 		23.35 	23.35 	开掘	﹢878片盘联巷
108	3月	电笔	150V-1500V	20	5	个	20	分采	现金	5	100.00 		13.34 	66.72 	开掘	﹢878片盘联巷
109	3月	电压互感器	660V/100V三相	5300	1	个	5300	分采	现金	1	5,300.00 		3536.40 	3536.40 	开掘	﹢878片盘联巷
110	3月	丙烷割嘴		35	10	个	35	分采	现金	10	350.00 		23.35 	233.54 	开掘	﹢878片盘联巷
111	3月	生胶带		2	100	盘	2	分采	现金	100	200.00 		1.33 	133.45 	开掘	﹢878片盘联巷
112	3月	浸油盘根	直径14mm	80	10	公斤	80	分采	现金	10	800.00 		53.38 	533.80 	开掘	﹢878片盘联巷
113	3月	壁纸刀刀片		0.4	50	个	0.4	分采	现金	50	20.00 		0.27 	13.34 	开掘	﹢878片盘联巷
114	3月	气钉	30mm	30	10	盒	30	分采	现金	10	300.00 		20.02 	200.17 	开掘	﹢878片盘联巷
115	3月	气管	20m	70	1	根	70	分采	现金	1	70.00 		46.71 	46.71 	开掘	﹢878片盘联巷
116	3月	电动空压机	30L	2250	1	台	2250	分采	现金	1	2,250.00 		1501.30 	1501.30 	开掘	﹢878片盘联巷
117	3月	木桌		850	13	张	850	分采	现金	13	11,050.00 		567.16 	7373.06 	开掘	﹢878片盘联巷
118	3月	柜子		1750	2	个	1750	分采	现金	2	3,500.00 		1167.68 	2335.36 	开掘	﹢878片盘联巷
119	3月	四件套		300	6	套	300	分采	现金	6	1,800.00 		200.17 	1201.04 	开掘	﹢878片盘联巷
120	3月	小太阳		160	5	个	160	分采	现金	5	800.00 		106.76 	533.80 	开掘	﹢878片盘联巷
121	3月	法兰盘	直径50mm	46.26	338	个	46.2662722	分采	现金	338	15,638.00 		30.87 	10434.38 	开掘	﹢878片盘联巷
122	3月	闸阀	直径50mm	600	1	个	600	分采	现金	1	600.00 		400.35 	400.35 	开掘	﹢878片盘联巷
123	3月	螺丝	16*50	28.375	120	Kg	28.375	分采	现金	120	3,405.00 		18.93 	2271.97 	开掘	﹢878片盘联巷
124	3月	金属制品		9.25	240	Kg	9.25	分采	现金	240	2,220.00 		6.17 	1481.28 	开掘	﹢878片盘联巷
125	3月	金属型材		25	112	Kg	25	分采	现金	112	2,800.00 		16.68 	1868.29 	开掘	﹢878片盘联巷
126	3月	木材		4500	12.74	立方	4500	分采	现金	12.74	57,330.00 		3002.60 	38253.15 	开掘	﹢878片盘联巷
127	3月	木材		4499.43757	35.56	立方	4499.43757	分采	现金	35.56	160,000.00 		3002.23 	106759.19 	开掘	﹢878片盘联巷
128	3月	电焊机		3206.4	5	台	3206.4	分采	现金	5	16,032.00 		2139.45 	10697.27 	开掘	﹢878片盘联巷
1	3月	床垫		1300	3	张	1300		现金	3	3,900.00 		867.42 	2602.26 	开掘	﹢878片盘联巷
2	3月	床		1350	20	张	1250		现金	20	25,000.00 		834.06 	16681.12 	开掘	﹢878片盘联巷
3	3月	被褥		300	23	套	300		现金	23	6,900.00 		200.17 	4603.99 	开掘	﹢878片盘联巷
4	3月	办公椅		200	30	张	180		现金	30	5,400.00 		120.10 	3603.12 	开掘	﹢878片盘联巷
5	3月	行车不行人牌板	300mm*400mm		1 	个			现金	"
0"	226890		151391.21 	151391.21 	开掘	﹢878片盘联巷
6	3月	行车不行人牌板	4100mm*1100mm		1 	个			现金	1 					开掘	﹢878片盘联巷
7	3月	运输技术特征	600mm*800mm		1 	个			现金	"
0"					开掘	﹢878片盘联巷
8	3月	安全标语横幅(喷绘)	600mm*5000mm		5 	条			现金	"
0"					开掘	﹢878片盘联巷
9	3月	横型牌板	1200mm*2400mm		6 	个			现金	6 					开掘	﹢878片盘联巷
10	3月	竖型牌板	700mm*900mm		3 	个			现金	3 					开掘	﹢878片盘联巷
11	3月	安全通道警示牌	300mm*400mm		8 	个			现金	8 					开掘	﹢878片盘联巷
12	3月	大牌板(喷绘布)	5240mm*2600mm		14 	平			现金	14 					开掘	﹢878片盘联巷
13	3月	仓库防火制度牌板	700mm*900mm		1 	个			现金	1 					开掘	﹢878片盘联巷
14	3月	仓库管理牌板	300mm*400mm		24 	个			现金	24 					开掘	﹢878片盘联巷
15	3月	竖的安全通道警示牌	250mm*1500mm		30 	个			现金	0 					开掘	﹢878片盘联巷
16	3月	工程概况	2000mm*1400mm		1 	个			现金	1 					开掘	﹢878片盘联巷
17	3月	巷道里程牌	300mm*400mm		6 	个			现金	0					开掘	﹢878片盘联巷
18	3月	物料管理牌	300mm*400mm		20 	个			现金	20 					开掘	﹢878片盘联巷
19	3月	瓦斯检查牌	400mm*300mm		10 	个			现金	10 					开掘	﹢878片盘联巷
20	3月	挡风墙管理牌	400mm*300mm		20 	个			现金	20 					开掘	﹢878片盘联巷
21	3月	密闭说明牌板	400mm*300mm		20 	个			现金	20 					开掘	﹢878片盘联巷
22	3月	密闭检查牌板	400mm*300mm		20 	个			现金	"
20"					开掘	﹢878片盘联巷
23	3月	风门说明牌板	400mm*300mm		10 	个			现金	10 					开掘	﹢878片盘联巷
24	3月	风门管理牌板	400mm*300mm		10 	个			现金	10 					开掘	﹢878片盘联巷
25	3月	禁止入内	400mm*300mm		20 	个			现金	20 					开掘	﹢878片盘联巷
26	3月	局部通风机牌板	500mm*400mm		10 	个			现金	1					开掘	﹢878片盘联巷
27	3月	机房岗位责任制牌板	500mm*800mm		21 	个			现金	21 					开掘	﹢878片盘联巷
28	3月	机房防火防盗牌板	500mm*800mm		21 	个			现金	"
21"					开掘	﹢878片盘联巷
29	3月	监控机房交接班牌板	500mm*800mm		21 	个			现金	21 					开掘	﹢878片盘联巷
30	3月	监测机房操作牌板	500mm*800mm		21 	个			现金	"
21"					开掘	﹢878片盘联巷
31	3月	监测分站牌	500mm*700mm		20 	个			现金	"
20"					开掘	﹢878片盘联巷
32	3月	斜巷人车运行牌板	600mm*800mm		1 	个			现金	0					开掘	﹢878片盘联巷
33	3月	绞车房名称牌	1200mm*400mm		10 	个			现金	6 					开掘	﹢878片盘联巷
34	3月	井口20米内禁止吸烟	300mm*400mm		3 	个			现金	"
3"					开掘	﹢878片盘联巷
35	3月	有电危险 高压危险	300mm*400mm		1 	个			现金	"
0"					开掘	﹢878片盘联巷
36	3月	要害场所闲人免进	300mm*400mm		1 	个			现金	"
0"					开掘	﹢878片盘联巷
37	3月	奖牌			36 	个			现金	36 					开掘	﹢878片盘联巷
38	3月	桌签			19 	个			现金	19 					开掘	﹢878片盘联巷
39	3月	条幅、工业广场喷绘			35 	平			现金	35 					开掘	﹢878片盘联巷
40	3月	5-39项安全管理部制牌费用合计							现金						开掘	﹢878片盘联巷
41	3月	现-0026账无单子									2542		1696.14 	1696.14 	开掘	﹢878片盘联巷
42	3月	办公桌		1000	5 	张	1000		转账	5 	5000		667.24 	3336.22 	开掘	﹢878片盘联巷
43	3月	会议椅		460	160 	把	460		转账	160 	73600		306.93 	49109.23 	开掘	﹢878片盘联巷
44	3月	140×80规格桌子		875	40 	张	875		转账	40 	35000		583.84 	23353.57 	开掘	﹢878片盘联巷
45	3月	直径1.8米会议桌		86900	1 	张	8690		转账	1 	8690		5798.36 	5798.36 	开掘	﹢878片盘联巷
46	3月	直径2.20米会议桌		1067000	1 	张	10670		转账	1 	10670		7119.50 	7119.50 	开掘	﹢878片盘联巷
47	3月	签字椅（Sighn椅		845	24 	张	845		转账	24 	20280		563.82 	13531.73 	开掘	﹢878片盘联巷
48	3月	药品		2650	1 	箱	2650		现金	1 	2650		1768.20 	1768.20 	开掘	﹢878片盘联巷
