集团域外企业物资采购情况统计表																
单位名称：平煤神马塔能伊斯法拉公司							月份：3月			填报时间：						
序号	月份	计划情况（元）				采购情况（元）										
		物资名称	规格型号	计划价格	计划数量	单位	采购单价（塔币索莫尼）	采购方式	付款方式	采购数量	采购金额（塔币索莫尼）	库存数量	单价（人民币元）	金额（人民币元）	单位	工程名称
1	3月	餐桌	长2.7m*宽1.5m*高0.75m	2643	1	张	2643	分采	现金	1	2,643.00 		1763.53 	1763.53 	开掘	﹢878片盘联巷
2	3月	绘图桌	长2.2m*宽1.2m*高0.75m	1723	1	张	1723	分采	现金	1	1,723.00 		1149.66 	1149.66 	开掘	﹢878片盘联巷
3	3月	打印机桌子	长0.9m*宽0.9m*高0.9m	634	1	张	634	分采	现金	1	634.00 		423.03 	423.03 	开掘	﹢878片盘联巷
4	3月	订书机		60	3	个	60	分采	现金	3	180.00 		40.03 	120.10 	开掘	﹢878片盘联巷
5	3月	螺丝刀	短把梅花	10	5	把	10	分采	现金	5	50.00 		6.67 	33.36 	开掘	﹢878片盘联巷
6	3月	螺丝刀	长把梅花	15	5	把	15	分采	现金	5	75.00 		10.01 	50.04 	开掘	﹢878片盘联巷
7	3月	螺丝刀	短把一字	10	5	把	10	分采	现金	5	50.00 		6.67 	33.36 	开掘	﹢878片盘联巷
8	3月	螺丝刀	长把一字	15	5	把	15	分采	现金	5	75.00 		10.01 	50.04 	开掘	﹢878片盘联巷
9	3月	三通套筒	8.10.12	10	5	个	10	分采	现金	5	50.00 		6.67 	33.36 	开掘	﹢878片盘联巷
10	3月	三通套筒	14.17.19	25	5	个	25	分采	现金	5	125.00 		16.68 	83.41 	开掘	﹢878片盘联巷
11	3月	活口扳手	12寸	60	5	把	60	分采	现金	5	300.00 		40.03 	200.17 	开掘	﹢878片盘联巷
12	3月	活口扳手	8寸	45	5	把	45	分采	现金	5	225.00 		30.03 	150.13 	开掘	﹢878片盘联巷
13	3月	钳子		30	15	把	30	分采	现金	15	450.00 		20.02 	300.26 	开掘	﹢878片盘联巷
14	3月	梅花扳手	17-19	22	5	个	22	分采	现金	5	110.00 		14.68 	73.40 	开掘	﹢878片盘联巷
15	3月	梅花扳手	22-24	25	5	个	25	分采	现金	5	125.00 		16.68 	83.41 	开掘	﹢878片盘联巷
16	3月	梅花扳手	27-30	30	5	个	30	分采	现金	5	150.00 		20.02 	100.09 	开掘	﹢878片盘联巷
17	3月	开口扳手	17-19	22	5	个	22	分采	现金	5	110.00 		14.68 	73.40 	开掘	﹢878片盘联巷
18	3月	开口扳手	22-24	25	5	个	25	分采	现金	5	125.00 		16.68 	83.41 	开掘	﹢878片盘联巷
19	3月	钻头	18	35	2	根	35	分采	现金	2	70.00 		23.35 	46.71 	开掘	﹢878片盘联巷
20	3月	钻头	18	75	4	根	75	分采	现金	4	300.00 		50.04 	200.17 	开掘	﹢878片盘联巷
21	3月	钻头	14	25	2	根	25	分采	现金	2	50.00 		16.68 	33.36 	开掘	﹢878片盘联巷
22	3月	钻头	14	40	4	根	40	分采	现金	4	160.00 		26.69 	106.76 	开掘	﹢878片盘联巷
23	3月	过墙钻头	28*1000mm	170	1	个	170	分采	现金	1	170.00 		113.43 	113.43 	开掘	﹢878片盘联巷
24	3月	过墙钻头	28*500mm	70	1	个	70	分采	现金	1	70.00 		46.71 	46.71 	开掘	﹢878片盘联巷
25	3月	锂电角磨机		1800	1	台	1800	分采	现金	1	1,800.00 		1201.04 	1201.04 	开掘	﹢878片盘联巷
26	3月	管钳	900mm	480	1	把	480	分采	现金	1	480.00 		320.28 	320.28 	开掘	﹢878片盘联巷
27	3月	活口板子	600mm	367	1	把	367	分采	现金	1	367.00 		244.88 	244.88 	开掘	﹢878片盘联巷
28	3月	十字钻头	43mm	75	10	个	75	分采	现金	10	750.00 		50.04 	500.43 	开掘	﹢878片盘联巷
29	3月	扳子	10寸	50	2	把	50	分采	现金	2	100.00 		33.36 	66.72 	开掘	﹢878片盘联巷
30	3月	老虎钳	9寸	35	2	把	35	分采	现金	2	70.00 		23.35 	46.71 	开掘	﹢878片盘联巷
31	3月	凿子	20mm	20	2	根	20	分采	现金	2	40.00 		13.34 	26.69 	开掘	﹢878片盘联巷
32	3月	尖嘴钳		50	3	把	50	分采	现金	3	150.00 		33.36 	100.09 	开掘	﹢878片盘联巷
33	3月	电动伐木锯		650	1	套	650	分采	现金	1	650.00 		433.71 	433.71 	开掘	﹢878片盘联巷
34	3月	拐尺	大	45	1	把	45	分采	现金	1	45.00 		30.03 	30.03 	开掘	﹢878片盘联巷
35	3月	拐尺	小	35	1	把	35	分采	现金	1	35.00 		23.35 	23.35 	开掘	﹢878片盘联巷
36	3月	十字螺丝刀	6*200mm	15	3	把	15	分采	现金	3	45.00 		10.01 	30.03 	开掘	﹢878片盘联巷
37	3月	一字螺丝刀	6*200mm	15	3	把	15	分采	现金	3	45.00 		10.01 	30.03 	开掘	﹢878片盘联巷
38	3月	激光水平仪		650	1	台	650	分采	现金	1	650.00 		433.71 	433.71 	开掘	﹢878片盘联巷
39	3月	气钉枪		310	1	把	310	分采	现金	1	310.00 		206.85 	206.85 	开掘	﹢878片盘联巷
40	3月	气枪		40	1	个	40	分采	现金	1	40.00 		26.69 	26.69 	开掘	﹢878片盘联巷
41	3月	白涂料		20	350	Kg	20	分采	现金	350	7,000.00 		13.34 	4670.71 	开掘	﹢878片盘联巷
42	3月	中蓝油漆		23	15	Kg	23	分采	现金	15	345.00 		15.35 	230.20 	开掘	﹢878片盘联巷
43	3月	姜黄颜料		20	5	Kg	20	分采	现金	5	100.00 		13.34 	66.72 	开掘	﹢878片盘联巷
44	3月	蓝色颜料		10	20	瓶	10	分采	现金	20	200.00 		6.67 	133.45 	开掘	﹢878片盘联巷
