集团域外企业物资采购情况统计表																
单位名称：平煤神马塔能伊斯法拉公司							月份：8月			填报时间：						
序号	月份	计划情况（元）				采购情况（元）										
		物资名称	规格型号	计划价格	计划数量	单位	采购单价（塔币索莫尼）	采购方式	付款方式	采购数量	采购金额（塔币索莫尼）	库存数量	单价（人民币元）	金额（人民币元）	单位	工程名称
3	8月	羊肉		110	150	公斤	110		现金	150	16500.		83.40 	12510.43 	开掘	﹢810m运输大巷
4	8月	汤料(牛肉)		45	200	公斤	45		现金	200	9000.		34.12 	6823.87 	开掘	﹢810m运输大巷
5	8月	鸡肉		24	250	公斤	24		现金	250	6000.		18.20 	4549.25 	开掘	﹢810m运输大巷
6	8月	鸡翅		12	100	公斤	12		现金	100	1200.		9.10 	909.85 	开掘	﹢810m运输大巷
7	8月	鸡心		20	50	公斤	20		现金	50	1000.		15.16 	758.21 	开掘	﹢810m运输大巷
8	8月	海带		60	22	公斤	60		现金	22	1320.		45.49 	1000.83 	开掘	﹢810m运输大巷
9	8月	黄瓜		6.5	150	公斤	6.5		现金	150	975.		4.93 	739.25 	开掘	﹢810m运输大巷
10	8月	胡萝卜		6	300	公斤	6		现金	300	1800.		4.55 	1364.77 	开掘	﹢810m运输大巷
11	8月	洋葱		5	315	公斤	5		现金	315	1575.		3.79 	1194.18 	开掘	﹢810m运输大巷
12	8月	包菜		5	120	公斤	5		现金	120	600.		3.79 	454.92 	开掘	﹢810m运输大巷
13	8月	白菜		8	100	公斤	8		现金	100	800.		6.07 	606.57 	开掘	﹢810m运输大巷
14	8月	鸡蛋		40	160	包	40		现金	160	6400.		30.33 	4852.53 	开掘	﹢810m运输大巷
15	8月	芸豆		22	20	公斤	22		现金	20	440.		16.68 	333.61 	开掘	﹢810m运输大巷
16	8月	面粉		5.4	300	公斤	5.4		现金	300	1620.		4.09 	1228.30 	开掘	﹢810m运输大巷
17	8月	大米		20	180	公斤	20		现金	180	3600.		15.16 	2729.55 	开掘	﹢810m运输大巷
18	8月	盐		2	30	公斤	2		现金	30	60.		1.52 	45.49 	开掘	﹢810m运输大巷
19	8月	土豆		6.5	100	公斤	6.5		现金	100	650.		4.93 	492.83 	开掘	﹢810m运输大巷
20	8月	茄子		38	120	公斤	38		现金	120	4560.		28.81 	3457.43 	开掘	﹢810m运输大巷
21	8月	糖		10.7	20	公斤	10.7		现金	20	214.		8.11 	162.26 	开掘	﹢810m运输大巷
22	8月	十二个佐料		7	17	包	7		现金	17	119.		5.31 	90.23 	开掘	﹢810m运输大巷
23	8月	食油		25 	20 	个	25 		现金	20 	500.		18.96 	379.10 	开掘	﹢810m运输大巷
24	8月	菜油		17 	60 	升	17 		现金	60 	1020.		12.89 	773.37 	开掘	﹢810m运输大巷
25	8月	西红柿		18 	25 	公斤	18 		现金	25 	450.		13.65 	341.19 	开掘	﹢810m运输大巷
26	8月	韭菜		9 	60 	把	9 		现金	60 	540.		6.82 	409.43 	开掘	﹢810m运输大巷
27	8月	番茄酱		20 	18 	公斤	20 		现金	18 	360.		15.16 	272.95 	开掘	﹢810m运输大巷
28	8月	干辣椒		50 	4 	公斤	50 		现金	4 	200.		37.91 	151.64 	开掘	﹢810m运输大巷
29	8月	黑椒		2 	40 	包	2 		现金	40 	80.		1.52 	60.66 	开掘	﹢810m运输大巷
30	8月	柿子椒		35 	20 	公斤	35 		现金	20 	700.		26.54 	530.75 	开掘	﹢810m运输大巷
31	8月	花生		20 	100 	公斤	20 		现金	100 	2000.		15.16 	1516.42 	开掘	﹢810m运输大巷
32	8月	葱		1.25 	100 	把	1.25 		现金	100 	125.		0.95 	94.78 	开掘	﹢810m运输大巷
33	8月	菠菜		8 	298 	公斤	8 		现金	298 	2384.		6.07 	1807.57 	开掘	﹢810m运输大巷
34	8月	莳萝，欧芹		1.5 	100 	把	1.5 		现金	100 	150.		1.14 	113.73 	开掘	﹢810m运输大巷
35	8月	餐巾		1.2 	100 	包	1.2 		现金	100 	120.		0.91 	90.98 	开掘	﹢810m运输大巷
36	8月	纸杯		0.2 	200 	个	0.2 		现金	200 	40.		0.15 	30.33 	开掘	﹢810m运输大巷
37	8月	清洁剂		25 	20 	桶	25 		现金	20 	500.		18.96 	379.10 	开掘	﹢810m运输大巷
38	8月	牛排		100.	31.72	公斤	100.		现金	31.72	3172.		75.82 	2405.03 	开掘	﹢810m运输大巷
39	8月	牛肉		118	180	公斤	118		现金	180	21240.		89.47 	16104.33 	开掘	﹢810m运输大巷
40	8月	羊肉		110	230	公斤	110		现金	230	25300.		83.40 	19182.65 	开掘	﹢810m运输大巷
41	8月	汤料(牛肉)		45	100	公斤	45		现金	100	4500.		34.12 	3411.93 	开掘	﹢810m运输大巷
42	8月	鸡肉		24	250	公斤	24		现金	250	6000.		18.20 	4549.25 	开掘	﹢810m运输大巷
43	8月	鸡爪		12 	250 	公斤	12 		现金	250 	3000.		9.10 	2274.62 	开掘	﹢810m运输大巷
44	8月	鸡翅		43	100	公斤	43		现金	100	4300.		32.60 	3260.29 	开掘	﹢810m运输大巷
45	8月	黄瓜		6.5	150	公斤	6.5		现金	150	975.		4.93 	739.25 	开掘	﹢810m运输大巷
46	8月	胡萝卜		6	300	公斤	6		现金	300	1800.		4.55 	1364.77 	开掘	﹢810m运输大巷
47	8月	洋葱		5	315	公斤	5		现金	315	1575.		3.79 	1194.18 	开掘	﹢810m运输大巷
48	8月	包菜		5	120	公斤	5		现金	120	600.		3.79 	454.92 	开掘	﹢810m运输大巷
49	8月	白菜		8	100	公斤	8		现金	100	800.		6.07 	606.57 	开掘	﹢810m运输大巷
50	8月	鸡蛋		40	180	包	40		现金	180	7200.		30.33 	5459.09 	开掘	﹢810m运输大巷
51	8月	芸豆		22	20	公斤	22		现金	20	440.		16.68 	333.61 	开掘	﹢810m运输大巷
52	8月	毛豆		18 	20 	公斤	18 		现金	20 	360.		13.65 	272.95 	开掘	﹢810m运输大巷
53	8月	白面		5.4	300	公斤	5.4		现金	300	1620.		4.09 	1228.30 	开掘	﹢810m运输大巷
54	8月	大米		20	300	公斤	20		现金	300	6000.		15.16 	4549.25 	开掘	﹢810m运输大巷
55	8月	盐		2	10	公斤	2		现金	10	20.		1.52 	15.16 	开掘	﹢810m运输大巷
56	8月	土豆		6	80	公斤	6		现金	80	480.		4.55 	363.94 	开掘	﹢810m运输大巷
57	8月	茄子		10	90	公斤	10		现金	90	900.		7.58 	682.39 	开掘	﹢810m运输大巷
58	8月	糖		10.8	50	公斤	10.8		现金	50	540.		8.19 	409.43 	开掘	﹢810m运输大巷
59	8月	十二个佐料		7	30	包	7		现金	30	210.		5.31 	159.22 	开掘	﹢810m运输大巷
60	8月	小米		15.00 	20 	公斤	15.00 		现金	20 	300.		11.37 	227.46 	开掘	﹢810m运输大巷
61	8月	食油		25.00 	20 	个	25.00 		现金	20 	500.		18.96 	379.10 	开掘	﹢810m运输大巷
62	8月	菜油		18.00 	20 	升	18.00 		现金	20 	360.		13.65 	272.95 	开掘	﹢810m运输大巷
63	8月	西红柿		5.00 	250 	公斤	5.00 		现金	250 	1250.		3.79 	947.76 	开掘	﹢810m运输大巷
64	8月	韭菜		7.50 	100 	把	7.50 		现金	100 	750.		5.69 	568.66 	开掘	﹢810m运输大巷
65	8月	番茄酱		20.00 	20 	公斤	20.00 		现金	20 	400.		15.16 	303.28 	开掘	﹢810m运输大巷
66	8月	干辣椒		50.00 	12 	公斤	50.00 		现金	12 	600.		37.91 	454.92 	开掘	﹢810m运输大巷
67	8月	黑椒		2.00 	40 	包	2.00 		现金	40 	80.		1.52 	60.66 	开掘	﹢810m运输大巷
68	8月	柿子椒		13.00 	120 	公斤	13.00 		现金	120 	1560.		9.86 	1182.80 	开掘	﹢810m运输大巷
69	8月	酱油		12 	50 	瓶	12 		现金	50 	600.		9.10 	454.92 	开掘	﹢810m运输大巷
70	8月	葱		1 	200 	把	1 		现金	200 	250.		0.95 	189.55 	开掘	﹢810m运输大巷
71	8月	菠菜		8 	100 	公斤	8 		现金	100 	800.		6.07 	606.57 	开掘	﹢810m运输大巷
72	8月	莳萝，欧芹		2 	30 	公斤	2 		现金	30 	60.		1.52 	45.49 	开掘	﹢810m运输大巷
73	8月	红椒		60 	2 	公斤	60 		现金	2 	120.		45.49 	90.98 	开掘	﹢810m运输大巷
74	8月	餐巾纸		1 	200 	包	1 		现金	200 	220.		0.83 	166.81 	开掘	﹢810m运输大巷
75	8月	清洁剂		25 	40 	桶	25 		现金	40 	1000.		18.96 	758.21 	开掘	﹢810m运输大巷
76	8月	牛肉		115.40 	60 	公斤	115.40 			60 	6924.		87.50 	5249.83 	开掘	﹢810m运输大巷
77	8月	牛肉		135.00 	10 	公斤	135.00 			10 	1350.		102.36 	1023.58 	开掘	﹢810m运输大巷
78	8月	鸡肉		24.00 	400 	公斤	24.00 			400 	9600.		18.20 	7278.79 	开掘	﹢810m运输大巷
79	8月	鸡杂		18.00 	38 	公斤	18.00 			38 	684.		13.65 	518.61 	开掘	﹢810m运输大巷
80	8月	饺子		32.00 	48 	包	32.00 			48 	1536.		24.26 	1164.61 	开掘	﹢810m运输大巷
81	8月	黄瓜		6.50 	130 	公斤	6.50 			130 	845.		4.93 	640.69 	开掘	﹢810m运输大巷
82	8月	胡萝卜		7.00 	300 	公斤	7.00 			300 	2100.		5.31 	1592.24 	开掘	﹢810m运输大巷
83	8月	洋葱		5.00 	315 	公斤	5.00 			315 	1575.		3.79 	1194.18 	开掘	﹢810m运输大巷
84	8月	包菜		4.50 	114 	公斤	4.50 			114 	513.		3.41 	388.96 	开掘	﹢810m运输大巷
85	8月	鱼		52.00 	40 	公斤	52.00 			40 	2080.		39.43 	1577.07 	开掘	﹢810m运输大巷
86	8月	鸡蛋		38.00 	112 	包	38.00 			112 	4256.		28.81 	3226.93 	开掘	﹢810m运输大巷
87	8月	毛豆		18.00 	5 	公斤	18.00 			5 	90.		13.65 	68.24 	开掘	﹢810m运输大巷
88	8月	面粉		5.40 	150 	公斤	5.40 			150 	810.		4.09 	614.15 	开掘	﹢810m运输大巷
89	8月	大米		18.00 	200 	公斤	18.00 			200 	3600.		13.65 	2729.55 	开掘	﹢810m运输大巷
90	8月	盐		1.95 	10 	公斤	1.95 			10 	19.5		1.48 	14.79 	开掘	﹢810m运输大巷
91	8月	土豆		6.50 	200 	公斤	6.50 			200 	1300.		4.93 	985.67 	开掘	﹢810m运输大巷
92	8月	糖		10.70 	19 	公斤	10.70 			19 	203.3		8.11 	154.14 	开掘	﹢810m运输大巷
93	8月	十二个佐料		7.00 	17 	包	7.00 			17 	119.		5.31 	90.23 	开掘	﹢810m运输大巷
94	8月	食油（一瓶一升）		25.00 	20 	升	25.00 			20 	500.		18.96 	379.10 	开掘	﹢810m运输大巷
95	8月	菜油		16.87 	59 	升	16.87 			59 	986.9		12.79 	748.27 	开掘	﹢810m运输大巷
96	8月	芹菜		39.00 	4 	公斤	39.00 			4 	156.		29.57 	118.28 	开掘	﹢810m运输大巷
97	8月	西红柿		18.00 	25 	公斤	18.00 			25 	450.		13.65 	341.19 	开掘	﹢810m运输大巷
98	8月	辣椒		50.00 	4 	公斤	50.00 			4 	200.		37.91 	151.64 	开掘	﹢810m运输大巷
99	8月	柿子椒		35.00 	12 	公斤	35.00 			12 	420.		26.54 	318.45 	开掘	﹢810m运输大巷
100	8月	葱		1.20 	110 	把	1.20 			110 	132.		0.91 	100.08 	开掘	﹢810m运输大巷
101	8月	清洁剂		36.80 	10 	桶	36.80 			10 	368.		27.90 	279.02 	开掘	﹢810m运输大巷
102	8月	牛肉排		100.00 	84 	公斤	100.00 			84 	8356.		75.82 	6335.58 	开掘	﹢810m运输大巷
103	8月	牛肉		135.00 	10 	公斤	135.00 			10 	1350.		102.36 	1023.58 	开掘	﹢810m运输大巷
104	8月	羊肉		110.00 	80 	公斤	110.00 			80 	8800.		83.40 	6672.23 	开掘	﹢810m运输大巷
105	8月	鸡肉		24.00 	380 	公斤	24.00 			380 	9120.		18.20 	6914.85 	开掘	﹢810m运输大巷
106	8月	鸡肝		12.00 	25 	公斤	12.00 			25 	300.		9.10 	227.46 	开掘	﹢810m运输大巷
107	8月	鸡心		20.00 	50 	公斤	20.00 			50 	1000.		15.16 	758.21 	开掘	﹢810m运输大巷
108	8月	海带		60.00 	12 	公斤	60.00 			12 	720.		45.49 	545.91 	开掘	﹢810m运输大巷
109	8月	黄瓜		6.50 	130 	公斤	6.50 			130 	845.		4.93 	640.69 	开掘	﹢810m运输大巷
110	8月	胡萝卜		7.00 	300 	公斤	7.00 			300 	2100.		5.31 	1592.24 	开掘	﹢810m运输大巷
111	8月	洋葱		5.00 	315 	公斤	5.00 			315 	1575.		3.79 	1194.18 	开掘	﹢810m运输大巷
112	8月	包菜		4.50 	114 	公斤	4.50 			114 	513.		3.41 	388.96 	开掘	﹢810m运输大巷
113	8月	白菜		8.00 	100 	公斤	8.00 			100 	800.		6.07 	606.57 	开掘	﹢810m运输大巷
114	8月	萝卜		3.00 	100 	公斤	3.00 			100 	300.		2.27 	227.46 	开掘	﹢810m运输大巷
115	8月	鱼		52.00 	80 	公斤	52.00 			80 	4160.		39.43 	3154.14 	开掘	﹢810m运输大巷
116	8月	鸡蛋		38.00 	120 	包	38.00 			120 	4560.		28.81 	3457.43 	开掘	﹢810m运输大巷
117	8月	芸豆		19.00 	10 	公斤	19.00 			10 	190.		14.41 	144.06 	开掘	﹢810m运输大巷
118	8月	粉条		11.50 	250 	包	11.50 			250 	2875.		8.72 	2179.85 	开掘	﹢810m运输大巷
119	8月	米线		8.20 	120 	包	8.20 			120 	984.		6.22 	746.08 	开掘	﹢810m运输大巷
120	8月	面粉		5.40 	150 	公斤	5.40 			150 	810.		4.09 	614.15 	开掘	﹢810m运输大巷
121	8月	大米		18.00 	200 	公斤	18.00 			200 	3600.		13.65 	2729.55 	开掘	﹢810m运输大巷
122	8月	盐		1.95 	10 	公斤	1.95 			10 	19.5		1.48 	14.79 	开掘	﹢810m运输大巷
123	8月	土豆		6.50 	200 	公斤	6.50 			200 	1300.		4.93 	985.67 	开掘	﹢810m运输大巷
124	8月	茄子		38.00 	20 	公斤	38.00 			20 	760.		28.81 	576.24 	开掘	﹢810m运输大巷
125	8月	糖		10.70 	20 	公斤	10.70 			20 	214.		8.11 	162.26 	开掘	﹢810m运输大巷
126	8月	十二个佐料		7.00 	17 	包	7.00 			17 	119.		5.31 	90.23 	开掘	﹢810m运输大巷
127	8月	食油		25.00 	20 	升	25.00 			20 	500.		18.96 	379.10 	开掘	﹢810m运输大巷
128	8月	菜油		17.00 	60 	升	17.00 			60 	1020.		12.89 	773.37 	开掘	﹢810m运输大巷
129	8月	豆角		32.00 	10 	公斤	32.00 			10 	320.		24.26 	242.63 	开掘	﹢810m运输大巷
130	8月	西红柿		18.00 	25 	公斤	18.00 			25 	450.		13.65 	341.19 	开掘	﹢810m运输大巷
131	8月	干辣椒		50.00 	4 	公斤	50.00 			4 	200.		37.91 	151.64 	开掘	﹢810m运输大巷
132	8月	柿子椒		35.00 	12 	公斤	35.00 			12 	420.		26.54 	318.45 	开掘	﹢810m运输大巷
133	8月	葱		1.25 	100 	把	1.25 			100 	125.		0.95 	94.78 	开掘	﹢810m运输大巷
134	8月	餐巾		1.20 	100 	包	1.20 			100 	120.		0.91 	90.98 	开掘	﹢810m运输大巷
135	8月	纸杯		0.20 	194 	个	0.20 			194 	38.8		0.15 	29.42 	开掘	﹢810m运输大巷
136	8月	清洁剂		25.00 	20 	桶	25.00 			20 	500.		18.96 	379.10 	开掘	﹢810m运输大巷
137	8月	大门发光立体字制作安装费		34344	1	套	34344		转账	1	34344.		26039.88 	26039.88 	开掘	﹢810m运输大巷
138		桶装饮用水		10	1980	桶	1980		现金	10	19800.		1501.25 	15012.51 	开掘	﹢810m运输大巷
