集团域外企业物资采购情况统计表																
单位名称：平煤神马塔能伊斯法拉公司							月份：8月			填报时间：						
序号	月份	计划情况（元）				采购情况（元）										
		物资名称	规格型号	计划价格	计划数量	单位	采购单价（塔币索莫尼）	采购方式	付款方式	采购数量	采购金额（塔币索莫尼）	库存数量	单价（人民币元）	金额（人民币元）	单位	工程名称
1	8月	工字钢	12#×6000mm	11.	55056.	kg	11.00 	分采	转账	55,056.00 	605,616.00 		8.34 	459182.65 	开掘	﹢810m运输大巷
2	8月	沙	/	91.	739.56	立方米	91.00 	分采	现金	739.56 	67,300.00 		69.00 	51027.34 	开掘	﹢810m运输大巷
3	8月	石子	/	89.	198.8	立方米	89.00 	分采	现金	198.80 	17,700.00 		67.48 	13415.12 	开掘	﹢810m运输大巷
4	8月	木材	30mm×150mm×6000mm	4490.	26.58	方	4,490.00 	分采	转账	26.58 	119,340.00 		3404.35 	90487.68 	开掘	﹢810m运输大巷
5	8月	沙	/	96.67	90.	方	96.67 	分采	现金	90.00 	8,700.00 		73.30 	6596.63 	开掘	﹢810m运输大巷
6	8月	石子	/	88.89	90.	方	88.89 	分采	现金	90.00 	8,000.00 		67.40 	6065.74 	开掘	﹢810m运输大巷
7	8月	储水罐	/	7000.	2.	个	7,000.00 	分采	现金	2.00 	14,000.00 		5307.45 	10614.91 	开掘	﹢810m运输大巷
8	8月	雨布	/	1600.	4.	块	1,600.00 	分采	现金	4.00 	6,400.00 		1213.13 	4852.53 	开掘	﹢810m运输大巷
9	8月	海康摄像头	/	565.	8.	台	565.00 	分采	现金	8.00 	4,520.00 		428.39 	3427.10 	开掘	﹢810m运输大巷
10	8月	室内网线	/	5.	600.	米	5.00 	分采	现金	600.00 	3,000.00 		3.79 	2274.62 	开掘	﹢810m运输大巷
11	8月	路由器	/	300.	5.	台	300.00 	分采	现金	5.00 	1,500.00 		227.46 	1137.31 	开掘	﹢810m运输大巷
12	8月	插排	6插	80.	10.	个	80.00 	分采	现金	10.00 	800.00 		60.66 	606.57 	开掘	﹢810m运输大巷
13	8月	交换机箱子	/	700.	4.	台	700.00 	分采	现金	4.00 	2,800.00 		530.75 	2122.98 	开掘	﹢810m运输大巷
14	8月	地面电话线	2*0.5	2.4	500.	米	2.40 	分采	现金	500.00 	1,200.00 		1.82 	909.85 	开掘	﹢810m运输大巷
15	8月	网络电源一体化电缆	CAT5E+RVV电源线一体化电缆 标准：YD/T926-20018×0.5mmCAT5E网线+ZR-RVV2×1.0mm电缆	3.8	600.	米	3.80 	分采	现金	600.00 	2,280.00 		2.88 	1728.71 	开掘	﹢810m运输大巷
16	8月	防水雨布	/	1200.	1.	卷	1,200.00 	分采	现金	1.00 	1,200.00 		909.85 	909.85 	开掘	﹢810m运输大巷
17	8月	保险柜	/	3500.	1.	个	3,500.00 	分采	现金	1.00 	3,500.00 		2653.73 	2653.73 	开掘	﹢810m运输大巷
18	8月	硒鼓	黑色	100.	7.	个	100.00 	分采	现金	7.00 	700.00 		75.82 	530.75 	开掘	﹢810m运输大巷
19	8月	电脑音响	/	200.	2.	个	200.00 	分采	现金	2.00 	400.00 		151.64 	303.28 	开掘	﹢810m运输大巷
20	8月	摄像头	/	400.	2.	个	400.00 	分采	现金	2.00 	800.00 		303.28 	606.57 	开掘	﹢810m运输大巷
21	8月	硬盘录像机	/	1600.	1.	个	1,600.00 	分采	现金	1.00 	1,600.00 		1213.13 	1213.13 	开掘	﹢810m运输大巷
22	8月	吹风机	/	200.	3.	个	200.00 	分采	现金	3.00 	600.00 		151.64 	454.92 	开掘	﹢810m运输大巷
23	8月	防水雨布	/	1500.	10.	块	1,500.00 	分采	现金	10.00 	15,000.00 		1137.31 	11373.11 	开掘	﹢810m运输大巷
24	8月	轮式灭火器	/	1250.	4.	个	1,250.00 	分采	现金	4.00 	5,000.00 		947.76 	3791.04 	开掘	﹢810m运输大巷
25	8月	钢板	10mm	7140.	1.	张	7,140.00 	分采	现金	1.00 	7,140.00 		5413.60 	5413.60 	开掘	﹢810m运输大巷
26	8月	硒鼓	黑色	100.	10.	个	100.00 	分采	现金	10.00 	1,000.00 		75.82 	758.21 	开掘	﹢810m运输大巷
27	8月	商砼	C30	855.7044286	70.	立方	855.70 	分采	转账	70.00 	59,899.31 		648.80 	45415.88 	开掘	﹢810m运输大巷
28	8月	排水泵	/	8000.	1.	台	8,000.00 	分采	现金	1.00 	8,000.00 		6065.66 	6065.66 	开掘	﹢810m运输大巷
29	8月	木板	50mm×200mm×6000mm	53.166	180.	米	53.17 	分采	现金	180.00 	9,569.88 		40.31 	7255.96 	开掘	﹢810m运输大巷
30	8月	圆木	200mm×6000mm	596.	50.	根	596.00 	分采	现金	50.00 	29,800.00 		451.89 	22594.59 	开掘	﹢810m运输大巷
31	8月	沙	/	2700.	1.	车	2,700.00 	分采	现金	1.00 	2,700.00 		2047.16 	2047.16 	开掘	﹢810m运输大巷
32	8月	石子	/	2700.	1.	车	2,700.00 	分采	现金	1.00 	2,700.00 		2047.16 	2047.16 	开掘	﹢810m运输大巷
33	8月	红砖	240mm×115mm×53mm	1.6	4000.	块	1.60 	分采	现金	4,000.00 	6,400.00 		1.21 	4852.53 	开掘	﹢810m运输大巷
34	8月	水泥	/	918.	20.	吨	918.00 	分采	现金	20.00 	18,360.00 		696.03 	13920.69 	开掘	﹢810m运输大巷
35	8月	速凝剂	/	7800.	3.	吨	7,800.00 	分采	现金	3.00 	23,400.00 		5914.02 	17742.06 	开掘	﹢810m运输大巷
36	8月	放炮线	/	3.6	500.	米	3.60 	分采	现金	500.00 	1,800.00 		2.73 	1364.77 	开掘	﹢810m运输大巷
37	8月	锂电池伐木锯	/	1130.	2.	台	1,130.00 	分采	现金	2.00 	2,260.00 		856.77 	1713.55 	开掘	﹢810m运输大巷
38	8月	锂电池伐木锯链条	/	160.	3.	条	160.00 	分采	现金	3.00 	480.00 		121.31 	363.94 	开掘	﹢810m运输大巷
39	8月	伐木锯	/	600.	1.	台	610.00 	分采	现金	1.00 	610.00 		462.51 	462.51 	开掘	﹢810m运输大巷
40	8月	车载灭火器	/	160.	7.	个	160.00 	分采	现金	7.00 	1,120.00 		121.31 	849.19 	开掘	﹢810m运输大巷
41	8月	轮式灭火器	/	1250.	2.	个	1,250.00 	分采	现金	2.00 	2,500.00 		947.76 	1895.52 	开掘	﹢810m运输大巷
42	8月	小型灭火器	/	165.	30.	个	165.00 	分采	现金	30.00 	4,950.00 		125.10 	3753.13 	开掘	﹢810m运输大巷
43	8月	大型灭火器	/	1250.	4.	个	1,250.00 	分采	现金	4.00 	5,000.00 		947.76 	3791.04 	开掘	﹢810m运输大巷
44	8月	排水泵	AS80WQ40-22-.75	8000.	1.	台	8,000.00 	分采	现金	1.00 	8,000.00 		6065.66 	6065.66 	开掘	﹢810m运输大巷
45	8月	排水泵	AS80WQ40-22-.75	8000.	1.	台	8,000.00 	分采	现金	1.00 	8,000.00 		6065.66 	6065.66 	开掘	﹢810m运输大巷
46	8月	无缝钢管	φ108×6mm×13m	15.35	34772.	kg	15.35 	分采	转账	34,772.00 	533,750.00 		11.64 	404693.46 	开掘	﹢810m运输大巷
47	8月	打印机	/	2600.	1.	台	2,600.00 	分采	现金	1.00 	2,600.00 		1971.34 	1971.34 	开掘	﹢810m运输大巷
48	8月	笔记本	联想	3640.	1.	台	3,640.00 	分采	现金	1.00 	3,640.00 		2759.88 	2759.88 	开掘	﹢810m运输大巷
49	8月	冰箱	/	1300.	2.	台	1,300.00 	分采	现金	2.00 	2,600.00 		985.67 	1971.34 	开掘	﹢810m运输大巷
50	8月	半拉瓜	0.11×0.03×1.1M	36.	4200.	根	36.00 	分采	转账	4,200.00 	151,200.00 		27.30 	114640.99 	开掘	﹢810m运输大巷
51	8月	木稧	0.1×0.1×0.3M	5.25	2000.	个	5.25 	分采	转账	2,000.00 	10,500.00 		3.98 	7961.18 	开掘	﹢810m运输大巷
52	8月	木材	50×150×6000mm	3981.7	16.45	方	3,981.70 	分采	转账	16.45 	65,498.97 		3018.96 	49661.81 	开掘	﹢810m运输大巷
53	8月	木材	50×100×6000mm	3981.7	23.68	方	3,981.70 	分采	转账	23.68 	94,286.66 		3018.96 	71488.86 	开掘	﹢810m运输大巷
54	8月	木材	50×100×1000/1200	2500.	28.869	方	2,500.00 	分采	转账	28.87 	72,172.50 		1895.52 	54721.74 	开掘	﹢810m运输大巷
55	8月	平开钢板	2.75×1500×6000mm	10032.	9.43	吨	10,032.00 	分采	转账	9.43 	94,601.76 		7606.34 	71727.77 	开掘	﹢810m运输大巷
56	8月	平开钢板	2.5×1500×6000mm	10032.	16.4638	吨	10,032.00 	分采	转账	16.46 	165,164.84 		7606.34 	125229.24 	开掘	﹢810m运输大巷
57	8月	平开钢板	1.75×1500×6000mm	10032.	32.98	吨	10,032.00 	分采	转账	32.98 	330,855.36 		7606.34 	250857.05 	开掘	﹢810m运输大巷
1	8月	牛排		100.	134.	公斤	100.		现金	134.	13400.		75.82 	10159.98 	开掘	﹢810m运输大巷
2	8月	牛肉		118	160	公斤	118		现金	160	18880.		89.47 	14314.96 	开掘	﹢810m运输大巷
