集团域外企业物资采购情况统计表																
单位名称：平煤神马塔能伊斯法拉公司							月份：2月			填报时间：						
序号	月份	计划情况（元）				采购情况（元）										
		物资名称	规格型号	计划价格	计划数量	单位	采购单价（塔币索莫尼）	采购方式	付款方式	采购数量	采购金额（塔币索莫尼）	库存数量	单价（人民币元）	金额（人民币元）	单位	工程名称
54	2月	双氧水		1.3	7	瓶	1.30 	分采	现金	7	9.10 		0.87 	6.08 	开掘	回风斜井
55	2月	药盒		21.45	1	个	21.45	分采	现金	1	21.45 		14.34 	14.34 	开掘	回风斜井
56	2月	胶布		10	3	卷	10	分采	现金	3	30.00 		6.68 	20.05 	开掘	回风斜井
57	2月	温度计		8	5	支	8	分采	现金	5	40.00 		5.35 	26.73 	开掘	回风斜井
58	2月	3.5mm钢管	直径100mm	130	100	米	130	分采	现金	100	13,000.00 		86.89 	8688.68 	开掘	回风斜井
59	2月	3.5mm钢管	直径50mm	65	100	米	65	分采	现金	100	6,500.00 		43.44 	4344.34 	开掘	回风斜井
60	2月	法兰盘	直径100mm	75	150	个	75	分采	现金	150	11,250.00 		50.13 	7519.05 	开掘	回风斜井
61	2月	法兰盘	直径50mm	47	100	个	47	分采	现金	100	4,700.00 		31.41 	3141.29 	开掘	回风斜井
62	2月	法兰盘	直径80mm	70	4	个	70	分采	现金	4	280.00 		46.79 	187.14 	开掘	回风斜井
63	2月	胶垫	直径80mm	8	15	个	8	分采	现金	15	120.00 		5.35 	80.20 	开掘	回风斜井
64	2月	螺丝(带螺帽)	16×50mm	27	27	Kg	27	分采	现金	27	729.00 		18.05 	487.23 	开掘	回风斜井
65	2月	白涂料		20	30	Kg	20	分采	现金	30	600.00 		13.37 	401.02 	开掘	回风斜井
66	2月	蓝涂料		20	15	Kg	20	分采	现金	15	300.00 		13.37 	200.51 	开掘	回风斜井
67	2月	纸胶布		10	50	卷	10	分采	现金	50	500.00 		6.68 	334.18 	开掘	回风斜井
68	2月	滚筒刷	大	7	5	个	7	分采	现金	5	35.00 		4.68 	23.39 	开掘	回风斜井
69	2月	滚筒刷	小	4	5	个	4	分采	现金	5	20.00 		2.67 	13.37 	开掘	回风斜井
70	2月	氧气管		6.4	300	米	6.4	分采	现金	300	1,920.00 		4.28 	1283.25 	开掘	回风斜井
71	2月	空气开关	100A	150	5	个	150	分采	现金	5	750.00 		100.25 	501.27 	开掘	回风斜井
72	2月	插座		15	10	个	15	分采	现金	10	150.00 		10.03 	100.25 	开掘	回风斜井
73	2月	拐尺		35	5	个	35	分采	现金	5	175.00 		23.39 	116.96 	开掘	回风斜井
74	2月	地面电缆	4x4²	25	100	米	25	分采	现金	100	2,500.00 		16.71 	1670.90 	开掘	回风斜井
75	2月	地面电缆	4x10²	75	100	米	75	分采	现金	100	7,500.00 		50.13 	5012.70 	开掘	回风斜井
76	2月	空气开关	63A	45	8	个	45	分采	现金	8	360.00 		30.08 	240.61 	开掘	回风斜井
77	2月	空气开关	63A	140	2	个	140	分采	现金	2	280.00 		93.57 	187.14 	开掘	回风斜井
78	2月	空开滑道		10	2	米	10	分采	现金	2	20.00 		6.68 	13.37 	开掘	回风斜井
79	2月	内墙腻子粉		85	20	袋	85	分采	现金	20	1,700.00 		56.81 	1136.21 	开掘	回风斜井
80	2月	内六角扳手	4-19	313	2	套	313	分采	现金	2	626.00 		209.20 	418.39 	开掘	回风斜井
81	2月	丙烷割把	100型	180	5	个	180	分采	现金	5	900.00 		120.30 	601.52 	开掘	回风斜井
82	2月	焊条	32	300	5	箱	300	分采	现金	5	1,500.00 		200.51 	1002.54 	开掘	回风斜井
83	2月	焊条	40	300	5	箱	300	分采	现金	5	1,500.00 		200.51 	1002.54 	开掘	回风斜井
84	2月	煤气瓶		380	3	个	380	分采	现金	3	1,140.00 		253.98 	761.93 	开掘	回风斜井
85	2月	钢卷尺	5m	30	5	个	30	分采	现金	5	150.00 		20.05 	100.25 	开掘	回风斜井
86	2月	拖把		20	2	个	20	分采	现金	2	40.00 		13.37 	26.73 	开掘	回风斜井
87	2月	纯棉布		38	20	Kg	38	分采	现金	20	760.00 		25.40 	507.95 	开掘	回风斜井
88	2月	钢板尺	1m、2m	75	4	个	75	分采	现金	4	300.00 		50.13 	200.51 	开掘	回风斜井
89	2月	游标卡尺		100	2	个	100	分采	现金	2	200.00 		66.84 	133.67 	开掘	回风斜井
90	2月	塞尺		70	1	个	70	分采	现金	1	70.00 		46.79 	46.79 	开掘	回风斜井
91	2月	地板革	1.0m-0.8m	40	20	米	40	分采	现金	20	800.00 		26.73 	534.69 	开掘	回风斜井
92	2月	黑漆		35	6	Kg	35	分采	现金	6	210.00 		23.39 	140.36 	开掘	回风斜井
93	2月	水壶		70	6	个	70	分采	现金	6	420.00 		46.79 	280.71 	开掘	回风斜井
94	2月	胶凳子		80	18	个	80	分采	现金	18	1,440.00 		53.47 	962.44 	开掘	回风斜井
95	2月	生理盐水		4	30	瓶	4	分采	现金	30	120.00 		2.67 	80.20 	开掘	回风斜井
96	2月	葡萄糖		5	30	瓶	5	分采	现金	30	150.00 		3.34 	100.25 	开掘	回风斜井
97	2月	持针器		160	1	把	160.00 	分采	现金	1	160.00 		106.94 	106.94 	开掘	回风斜井
98	2月	有齿镊子		105	1	把	105	分采	现金	1	105.00 		70.18 	70.18 	开掘	回风斜井
99	2月	止血钳		210	1	把	210	分采	现金	1	210.00 		140.36 	140.36 	开掘	回风斜井
100	2月	有齿肌肉钳		160	1	把	160	分采	现金	1	160.00 		106.94 	106.94 	开掘	回风斜井
101	2月	组织钳		105	1	把	105	分采	现金	1	105.00 		70.18 	70.18 	开掘	回风斜井
102	2月	戊二醛消毒液		570	1	套	570	分采	现金	1	570.00 		380.97 	380.97 	开掘	回风斜井
103	2月	消毒棉签		14.4	1	包	14.4	分采	现金	1	14.40 		9.62 	9.62 	开掘	回风斜井
104	2月	无菌手套		50	1	包	50	分采	现金	1	50.00 		33.42 	33.42 	开掘	回风斜井
105	2月	酒精消毒液	1000ml	153	1	瓶	153	分采	现金	1	153.00 		102.26 	102.26 	开掘	回风斜井
106	2月	碘伏消毒液	500ml	15.6	1	瓶	15.6	分采	现金	1	15.60 		10.43 	10.43 	开掘	回风斜井
107	2月	双氧水		1.3	5	瓶	1.3	分采	现金	5	6.50 		0.87 	4.34 	开掘	回风斜井
108	2月	绷带		2.5	5	卷	2.5	分采	现金	5	12.50 		1.67 	8.35 	开掘	回风斜井
109	2月	医用胶布		23.4	1	盒	23.4	分采	现金	1	23.40 		15.64 	15.64 	开掘	回风斜井
110	2月	体温计		25.8	1	个	25.8	分采	现金	1	25.80 		17.24 	17.24 	开掘	回风斜井
111	2月	体温枪		230	1	个	230	分采	现金	1	230.00 		153.72 	153.72 	开掘	回风斜井
112	2月	血压计		185	1	个	185	分采	现金	1	185.00 		123.65 	123.65 	开掘	回风斜井
113	2月	血糖测试仪	含采血针、试纸160.2+85.2	245.4	1	个	245.4	分采	现金	1	245.40 		164.02 	164.02 	开掘	回风斜井
114	2月	注射器	2ml	0.5	10	个	0.5	分采	现金	10	5.00 		0.33 	3.34 	开掘	回风斜井
115	2月	注射器	5ml	0.4	30	个	0.4	分采	现金	30	12.00 		0.27 	8.02 	开掘	回风斜井
116	2月	骨折固定夹板		170	1	副	170	分采	现金	1	170.00 		113.62 	113.62 	开掘	回风斜井
117	2月	手术刀		45	1	个	45	分采	现金	1	45.00 		30.08 	30.08 	开掘	回风斜井
118	2月	缝合针		108	4	个	108	分采	现金	4	432.00 		72.18 	288.73 	开掘	回风斜井
119	2月	输液器	7号	4.48	25	个	4.48	分采	现金	25	112.00 		2.99 	74.86 	开掘	回风斜井
120	2月	肌肉弯剪		140	1	个	140	分采	现金	1	140.00 		93.57 	93.57 	开掘	回风斜井
121	2月	利多卡因		0.8	20	支	0.8	分采	现金	20	16.00 		0.53 	10.69 	开掘	回风斜井
122	2月	医用托盘		35	1	个	35	分采	现金	1	35.00 		23.39 	23.39 	开掘	回风斜井
123	2月	头孢注射液		20	10	支	20	分采	现金	10	200.00 		13.37 	133.67 	开掘	回风斜井
124	2月	利巴韦林注射液		100	4	盒	100	分采	现金	4	400.00 		66.84 	267.34 	开掘	回风斜井
125	2月	阿莫西林胶囊		120	2	盒	120	分采	现金	2	240.00 		80.20 	160.41 	开掘	回风斜井
126	2月	插板	1.8m	60	4	个	60	分采	现金	4	240.00 		40.10 	160.41 	开掘	回风斜井
127	2月	网线		1	290	米	1	分采	现金	290	290.00 		0.67 	193.82 	开掘	回风斜井
